FoxNews 281 434 150 125
cnn 184 427 231 157
espn 8 72 1 38
nytimes 146 535 219 100
time 59 659 101 180
HuffPostWeirdNews 15 456 20 348
theguardian 182 461 167 190
CartoonNetwork 10 151 0 100
CookingLight 3 978 8 10
homecookingadventure 1 146 0 0
JustinBieber 1 279 0 9
nickelodeon 20 245 1 180
spongebob 0 60 1 39
Disney 1 808 4 34
